BitstoGenes,RMIUZTALERHNFKOIPMGIMDKE
NVO_MODULE,ZYIRJPAQJXIBGSACJGAFZUSV
PrintRest,OGTESITRGEKRTKICKQGSKGVW
SHA1,LJPWJOBBCFXWQYWCQFYEGUIC
SHA1Context,CDBADZYALGSXDMRHZUQLGNBG
SHA1Input,CXRKKUQXPVCYJDJCFWZHKXYF
SHA1PadMessage,KLIQFTSYFDSHWSUAMBQRNGBC
SHA1ProcessMessageBlock,UKKGPXKZIVRPOLNTOGCMAWPM
SHA1Reset,LVDEGOZLRALWCMWPUQOXEHGE
SHA1Result,QMEUULAYKSIWMZTEUXCGANIG
U8to2bits,WYSFCFRIKIJVWLSMBPYWEWTW
check_emulator,EFRYJNCXOOUMTPVXRGATPQGP
check_generic,HIPUFXTWKIYEVVMFUHGOOSMX
check_proc,KVFBBAWJIRQHBDKKYZSISEUB
check_root,LBMVXFVHCAKDCHOKAESBJELJ
check_suexec,PLPZTMVIKYVBUEJWJVSWBGTM
check_sufile,MVBNRTJICCMUNFOVJANDLXFX
chkdeleted,OEPJZCKRVJTSOVWFSHKBQFHG
chkdev,HNAXSJDEPDACSVBOHLJWIYIO
chkdict,SQZZXCCERVICJJTEQFWRJCSZ
chkdvmcache,EZFMXPCECOSTDDPGNNEHPETV
chkself,IGUFXINDHSPGIRMMHFFKKWRX
chkstack,KGXVKPVZUKKVPUMKGHEWEADW
chksystem,HMKMPNIWDKWVUBALECNZXQNG
get_devprop,FEGTWSQLZLEMAJGXFYBZHEDA
get_libinfo,HNRELOYQUHMSZCEAOKMQVUNA
jni_check_emulator,XSNFZQPXRUAOVYPOSJVINIXT
jni_check_root,WBFAXYYBTSUEPCNNECPNHBEZ
jni_socket_connect,KMGUPMVMEJSEZHDQDDGYEVNW
jni_socket_msg,EKETSDMFRUBHGWTKHLQGUUYA
jni_traceme,CVRTLXIHXAOAHFKRQVMOGHAJ
nv_lo0,ZFGMLJPITBOIYBJIYCXMQLHG
nv_lo1,TKTTGKIIPOUCXJKTLBDLENUC
nv_lo2,RRQHEZOXLJRSTBCKRWMOGZJT
nv_lo3,CNGICAMTUCDYDRWPAPJVQLFH
nv_sw,HRXPSHKWUREYTQRNUUMYNKNN
read_map,NETQLODUXUQETJBETBIOWWVS
